device_age_days,utility_sms_count,battery_deaths_weekly,saved_contacts_ratio,financial_apps_count,average_monthly_balance,lifetime_emi_bounces,loan_default_status
321,22,2,0.1388,1,8054.42,2,1
1347,0,0,0.4356,4,20961.31,0,0
142,0,2,0.3765,1,14478.57,2,1
72,11,1,0.5398,3,8661.45,0,1
379,0,0,0.3144,2,1516.31,2,0
160,27,0,0.0868,0,62401.99,0,0
26,20,2,0.4813,4,6567.67,0,0
114,0,5,0.4742,2,5134.98,0,0
1162,25,0,0.1332,5,10687.23,0,0
138,26,1,0.588,4,1107.74,0,0
48,24,1,0.1136,4,7558.09,1,0
1116,0,2,0.2026,2,6306.24,1,0
110,22,2,0.0061,2,6597.87,1,0
1608,0,2,0.1912,0,35048.45,2,0
222,29,1,0.4632,5,1807.59,0,0
907,0,0,0.1696,3,7735.31,1,0
246,27,2,0.3692,2,3868.19,2,0
412,0,1,0.2902,2,6254.52,2,0
269,25,1,0.1881,5,21985.62,0,0
247,32,1,0.1942,4,6943.85,0,0
357,34,4,0.2635,2,5828.48,0,0
423,21,0,0.1913,4,483.39,0,0
337,23,0,0.0163,1,20773.82,2,0
312,24,1,0.2872,6,1155.4,3,1
161,19,1,0.6015,7,4605.92,0,1
277,30,0,0.465,5,2899.5,0,0
834,0,1,0.3021,1,524.52,0,0
155,22,1,0.3267,4,9573.55,0,1
364,0,0,0.3339,3,4884.43,4,0
670,0,0,0.3657,5,15004.59,3,0
425,0,1,0.3431,1,15574.12,0,0
571,27,2,0.1391,5,16952.49,0,0
108,30,0,0.5208,0,14890.01,0,0
365,22,1,0.3335,3,14641.4,0,1
237,0,2,0.2182,1,25481.76,2,0
245,25,0,0.2872,2,12463.15,1,0
788,29,2,0.1446,1,10482.07,0,0
248,24,1,0.24,7,6629.69,0,0
374,0,2,0.1811,1,11041.06,1,0
48,22,0,0.2688,3,15120.38,0,0
907,22,2,0.4577,5,14601.18,0,0
548,41,1,0.3584,3,6531.17,0,0
285,19,0,0.3449,5,103397.46,2,0
228,0,0,0.0162,3,50897.9,2,0
456,30,2,0.3292,5,3028.91,2,1
665,0,0,0.1537,4,8020.56,0,0
915,24,1,0.0614,3,55992.83,1,0
536,28,2,0.3916,1,2796.47,1,0
315,0,2,0.2772,2,1837.83,0,1
593,30,2,0.1353,4,200980.87,0,0
520,0,0,0.1332,2,4519.4,1,1
316,0,1,0.2365,3,717.54,1,0
510,28,2,0.0128,4,3017.63,0,0
503,30,1,0.2504,3,4842.87,1,0
284,38,0,0.4114,3,21388.66,2,0
194,25,0,0.1365,6,8428.12,0,0
473,0,1,0.3553,3,1489.72,2,0
120,27,1,0.5603,2,238.22,1,1
96,20,0,0.2624,5,14549.68,0,1
378,0,0,0.492,1,8699.5,0,0
464,23,2,0.2112,5,34391.98,1,1
376,30,2,0.1241,2,3767.02,1,0
406,0,0,0.2104,4,5831.92,0,0
459,21,2,0.202,4,4217.53,3,0
790,21,1,0.2772,3,3860.4,5,0
542,0,4,0.2178,2,12759.3,0,0
531,22,1,0.4508,2,4649.67,1,0
357,0,0,0.4444,2,1066.39,0,0
367,0,0,0.2475,1,38868.71,0,0
267,31,3,0.2181,1,10478.55,1,0
398,23,0,0.1022,2,17726.83,2,0
115,0,1,0.5686,3,38778.49,2,0
792,20,1,0.103,2,6263.67,2,0
146,22,4,0.5469,2,6302.56,1,1
542,30,0,0.2868,1,2204.42,2,0
726,20,1,0.0988,3,22523.84,0,0
541,28,1,0.3382,2,1248.23,0,0
1231,28,2,0.1596,3,10239.55,1,0
33,33,2,0.5028,4,15057.36,0,0
205,26,2,0.0644,1,1655.2,0,0
718,20,2,0.4707,1,35380.01,1,0
93,27,1,0.343,8,746.75,0,0
150,0,2,0.1091,4,1644.95,0,0
439,0,2,0.0465,5,7775.53,1,0
312,24,4,0.2144,3,19062.26,0,0
419,28,0,0.2207,2,1569.39,0,0
333,22,0,0.4282,2,19306.74,2,0
356,27,1,0.0523,4,21615.54,1,0
164,0,2,0.0277,2,5042.56,1,1
348,0,1,0.7169,1,9478.92,0,0
217,18,0,0.3702,4,32900.09,1,0
242,26,1,0.555,2,50584.32,0,0
536,29,0,0.4076,7,4361.87,1,0
88,0,3,0.1113,1,2981.9,2,0
18,26,0,0.3151,3,6690.25,0,0
510,17,0,0.5277,3,2213.95,1,0
348,0,0,0.531,4,36365.47,1,0
726,0,1,0.0748,2,14567.15,1,0
154,21,1,0.3386,6,8063.18,1,0
277,24,1,0.1889,5,31000.4,0,0
321,17,0,0.0268,4,20495.39,1,1
181,32,0,0.3427,0,26088.38,0,0
137,17,3,0.1471,4,15772.06,0,0
528,0,2,0.6682,4,44286.22,0,0
79,33,4,0.2425,1,1564.62,0,0
117,36,0,0.3601,1,15165.96,1,0
270,27,0,0.3338,3,53397.87,0,0
571,29,0,0.0831,3,5536.94,1,0
192,24,0,0.3583,1,4079.7,3,0
172,0,1,0.5071,1,5203.65,1,0
258,17,3,0.3937,2,8122.61,0,0
392,27,0,0.0939,5,29642.99,0,0
227,0,2,0.4068,4,8160.23,0,0
622,30,1,0.3647,1,31538.28,0,0
640,20,2,0.2418,3,14468.46,1,0
270,0,1,0.1662,1,24942.78,0,0
1020,22,1,0.4958,2,8590.81,0,0
316,19,3,0.1394,7,6053.07,0,0
626,24,0,0.6409,3,1644.71,1,0
384,27,1,0.3792,3,438.06,0,0
379,20,1,0.0491,2,5058.71,1,1
61,33,2,0.3668,3,390.8,0,0
108,29,1,0.2891,5,7237.99,1,1
236,0,0,0.2586,5,17915.47,3,0
637,31,1,0.2304,1,8336.14,1,0
388,0,0,0.5145,2,272.69,0,0
238,19,0,0.1851,4,4869.03,1,0
468,25,2,0.2364,2,15148.94,1,0
621,37,4,0.4916,5,36279.78,0,0
301,26,0,0.3345,4,14802.12,1,0
354,19,4,0.2551,4,7853.72,1,0
321,27,1,0.3247,5,13863.5,1,0
286,0,2,0.117,1,72147.89,0,1
152,20,2,0.155,3,8151.48,0,1
142,0,0,0.3257,2,1324.63,0,0
466,29,0,0.0782,3,4493.4,1,0
629,20,1,0.5533,4,3221.61,0,0
238,21,1,0.0654,5,1952.12,1,0
233,0,1,0.1596,5,3355.95,0,0
43,27,1,0.2417,4,216149.92,1,0
34,18,1,0.2449,6,2311.76,0,1
741,26,0,0.1787,4,4297.05,0,0
161,30,2,0.5365,2,223855.94,0,0
1287,21,1,0.4176,2,15537.38,0,0
187,0,0,0.0346,4,11781.51,2,0
63,28,4,0.4943,4,14819.04,1,1
323,24,0,0.2873,5,9747.85,0,0
523,0,2,0.3047,1,4434.54,1,0
483,32,1,0.5917,1,11400.55,1,0
560,45,1,0.1924,3,14965.04,1,0
126,20,0,0.6505,4,1017.34,0,0
729,17,1,0.4292,3,4467.35,1,0
758,19,3,0.3802,2,1007.02,0,0
781,26,0,0.4265,2,2622.98,0,0
364,24,1,0.0527,3,14442.43,0,0
223,39,2,0.3491,5,4604.97,0,0
207,26,2,0.2511,2,5790.97,1,0
63,23,2,0.4691,2,294.15,0,1
191,24,0,0.4045,2,1525.55,2,0
16,0,2,0.288,1,1911.89,0,0
53,0,1,0.4534,4,983.64,1,0
361,37,2,0.0523,5,9696.91,0,1
244,21,0,0.3323,3,8533.28,2,0
349,28,5,0.3748,4,21184.4,0,0
496,24,0,0.2123,4,37201.88,0,0
398,21,2,0.0088,4,42072.15,3,0
374,20,1,0.602,6,12386.8,2,0
280,28,1,0.0156,1,10180.12,2,1
156,25,1,0.2297,3,11359.88,0,0
93,0,0,0.1847,4,2400.0,1,0
195,22,1,0.4217,2,11217.37,0,1
283,0,0,0.0722,4,4368.32,0,0
312,22,3,0.517,4,1852.88,2,0
561,25,0,0.2262,4,936.68,0,0
264,21,3,0.1677,2,442.13,2,0
446,27,2,0.4591,3,5955.22,1,0
73,22,3,0.3879,2,3574.69,2,0
365,0,2,0.196,2,3287.1,0,0
346,28,1,0.1083,5,2021.28,1,0
729,0,0,0.3053,3,4120.98,1,0
245,24,2,0.2873,4,2168.89,0,0
236,20,0,0.2276,3,9047.69,0,0
498,23,0,0.3435,4,19613.04,0,0
101,36,0,0.5811,4,4506.84,0,0
358,30,0,0.2649,5,29908.66,2,0
96,9,0,0.0765,5,3189.28,0,1
953,0,1,0.2018,3,798.88,1,0
211,22,1,0.3157,4,41536.55,2,0
89,25,1,0.075,2,696.33,0,0
194,23,0,0.1068,4,4135.64,1,0
359,15,1,0.3947,3,20742.27,0,0
436,0,1,0.3836,0,35837.53,1,0
704,0,2,0.6196,1,6667.02,2,1
175,25,0,0.1429,0,4071.57,0,0
514,0,2,0.341,4,100684.13,1,0
54,42,1,0.2152,3,24415.24,2,0
118,22,1,0.5346,3,29467.79,0,0
75,16,2,0.5572,3,14316.3,1,1
148,25,2,0.206,2,16725.7,1,0
498,23,0,0.0276,1,11033.41,2,0
178,21,1,0.1621,2,6915.8,0,0
208,25,3,0.4677,2,875.88,0,0
366,34,1,0.2519,3,1622.5,1,0
423,24,1,0.2777,2,18252.04,0,0
214,30,1,0.3438,1,34242.87,0,0
117,36,1,0.3354,5,10049.6,2,1
851,20,1,0.526,4,2157.48,0,0
215,0,3,0.3219,3,10306.34,1,0
233,0,1,0.2676,5,12740.68,2,0
257,31,2,0.2688,2,822.5,1,1
455,20,1,0.0493,3,49052.77,0,0
69,0,1,0.1852,2,22771.47,2,1
1074,0,1,0.2689,1,2262.85,3,0
228,23,3,0.2124,3,7313.85,0,0
466,20,2,0.0213,5,5428.57,4,1
90,20,1,0.5145,1,37995.32,2,0
339,0,1,0.2258,3,4092.02,3,0
966,18,1,0.1593,6,1922.17,3,0
878,25,0,0.157,0,7016.94,0,0
458,30,2,0.1367,4,2306.81,2,0
139,38,2,0.4139,5,25718.65,2,1
679,21,0,0.1286,1,7213.48,1,0
53,19,2,0.3339,5,1937.3,1,1
135,16,0,0.5777,3,3339.56,0,0
281,30,0,0.1526,5,4592.77,1,0
59,34,4,0.3487,3,5487.11,2,1
194,16,3,0.6258,2,1111.68,4,0
521,16,0,0.3334,1,1966.53,0,0
162,29,2,0.5576,4,10975.33,1,0
539,0,1,0.2341,8,36851.63,1,0
1264,0,3,0.3452,2,4261.06,0,0
399,29,2,0.3723,5,8853.35,0,0
532,13,1,0.2028,5,130257.49,1,0
695,19,2,0.4195,6,10570.66,0,0
209,0,2,0.4607,3,763.44,0,0
523,29,2,0.0549,5,15533.21,0,0
205,0,2,0.4516,3,10247.22,0,0
379,21,1,0.1491,2,4692.97,0,0
580,22,2,0.6248,4,2029.49,2,0
145,26,2,0.5989,1,21171.04,2,0
19,29,1,0.0821,6,303.7,1,0
133,0,2,0.0528,1,4735.01,0,1
640,22,3,0.0867,4,5152.25,1,1
118,25,1,0.2458,2,3386.97,0,1
615,27,1,0.1124,4,6953.27,2,0
134,0,1,0.1772,1,1773.16,0,0
251,26,2,0.3486,0,15403.43,1,0
296,0,0,0.1759,6,263711.45,0,0
118,0,2,0.1198,6,2681.47,2,0
253,0,2,0.4416,1,13060.83,2,1
63,0,1,0.2102,2,9635.09,1,1
225,0,1,0.3586,7,10242.24,1,0
278,25,1,0.2416,3,4584.02,2,0
20,0,0,0.3513,1,8129.92,1,1
132,22,1,0.046,2,10375.73,1,0
370,16,1,0.5818,4,21081.6,1,1
105,30,1,0.1554,0,19382.52,0,1
416,28,1,0.2482,2,37643.34,1,0
446,16,2,0.2549,2,3337.64,1,0
369,0,1,0.0595,3,10061.63,1,0
519,17,1,0.3863,2,6703.22,1,0
59,30,4,0.303,3,22547.21,0,0
598,21,0,0.3912,4,1235.7,3,0
119,27,0,0.5429,4,30052.45,0,0
323,18,1,0.0221,0,11838.4,1,1
941,35,2,0.2213,8,34178.68,0,0
221,30,0,0.3604,5,8565.63,0,0
302,24,1,0.0676,2,6513.9,0,0
120,28,1,0.004,4,3663.26,1,0
935,25,2,0.552,2,4968.29,1,0
132,25,0,0.6766,1,709.08,1,0
474,22,1,0.098,1,6652.92,0,0
694,27,4,0.3101,6,4286.83,0,0
506,0,2,0.445,4,9019.94,0,0
386,0,2,0.3102,3,3475.39,0,0
319,24,1,0.1523,2,12291.65,1,1
90,0,1,0.5391,2,6870.63,2,1
907,24,1,0.2629,1,899.69,0,0
363,29,4,0.0904,5,8537.79,0,0
302,38,1,0.1562,3,21633.52,1,0
110,26,2,0.4959,2,23627.71,2,1
314,22,0,0.4697,0,2766.69,1,0
288,27,1,0.3603,4,1320.94,0,0
941,0,2,0.2335,2,29844.53,2,0
302,25,2,0.0547,3,13243.41,0,1
310,0,0,0.1268,4,2519.63,1,0
112,17,0,0.371,3,2960.63,0,0
157,29,2,0.5772,4,8356.62,2,0
435,22,1,0.0886,4,22606.38,1,0
46,32,0,0.44,3,5390.73,2,1
595,17,0,0.0833,5,1345.91,0,0
607,28,2,0.4109,0,817.8,2,0
143,23,0,0.486,2,3021.16,0,0
387,25,2,0.3667,1,2958.67,1,0
709,0,0,0.3884,2,2105.94,0,0
270,23,1,0.251,3,43914.99,0,0
231,0,0,0.1656,3,1228.99,0,0
255,34,2,0.0306,3,3310.95,1,0
362,22,0,0.4019,3,105830.44,1,0
176,0,0,0.2572,3,3079.0,0,0
215,25,2,0.4463,7,7920.38,1,0
368,0,1,0.5844,3,44032.82,1,0
201,0,2,0.7116,3,7008.01,1,0
102,0,1,0.1512,2,12842.7,0,1
42,0,1,0.5704,4,3617.23,1,0
307,22,1,0.3016,1,2846.3,1,0
679,22,1,0.1649,3,1170.63,1,0
401,17,1,0.5047,1,6245.37,0,0
106,23,0,0.1688,3,12714.62,2,1
156,23,1,0.3296,1,82692.66,0,0
230,25,1,0.0963,2,4227.16,0,1
961,33,1,0.2565,4,33950.85,2,0
996,0,0,0.3046,5,24844.45,0,0
919,26,0,0.1515,0,3332.65,1,0
331,26,1,0.23,4,8389.06,1,0
1810,0,3,0.257,1,8509.78,1,0
163,26,1,0.1947,4,1534.76,0,0
223,22,1,0.0741,1,5986.85,2,0
564,23,3,0.0596,1,2947.41,0,0
369,25,2,0.1739,2,6138.04,1,1
385,29,3,0.1954,5,6658.26,1,0
124,36,0,0.2429,4,7609.03,2,1
286,27,0,0.2949,2,3921.5,0,0
165,0,0,0.0734,5,2266.55,1,0
83,28,1,0.6019,2,967.69,0,0
183,25,2,0.2856,2,24703.58,0,1
369,18,1,0.6218,2,8294.02,1,0
501,18,0,0.2015,4,27562.63,3,1
40,21,1,0.1379,3,6691.9,0,1
297,33,0,0.5253,3,7883.42,1,0
276,0,2,0.5744,4,5806.99,1,0
355,33,1,0.156,1,5183.1,1,0
108,0,1,0.2492,7,10707.83,2,0
110,33,0,0.0221,3,5596.93,0,1
692,0,1,0.1522,3,25558.64,1,0
145,27,0,0.2693,6,42578.55,1,0
214,17,3,0.6335,4,38463.43,1,1
233,22,1,0.1426,1,51460.6,1,1
168,29,1,0.0643,2,2042.71,1,0
425,25,2,0.1993,3,34187.59,0,0
399,28,0,0.3525,4,8993.54,1,0
267,0,0,0.1119,6,9140.84,2,0
177,32,1,0.0372,3,3415.32,1,0
250,0,1,0.4133,3,5151.61,0,0
316,29,1,0.3196,1,574.39,0,1
157,21,0,0.3021,5,15790.28,2,1
448,0,0,0.3142,2,6339.7,0,1
592,0,0,0.2875,2,4348.68,1,0
772,25,0,0.2112,1,40220.43,1,0
741,23,0,0.1595,6,8198.11,0,0
232,30,2,0.2691,3,2672.94,0,0
328,0,3,0.3281,2,7931.6,0,0
263,23,4,0.0385,1,63272.35,0,0
262,27,2,0.0896,3,6926.91,1,1
249,21,0,0.4495,1,21351.17,0,0
301,0,2,0.278,2,3409.51,2,1
660,19,0,0.1189,4,14667.13,1,1
377,29,1,0.5816,4,10374.88,0,0
104,30,1,0.0499,3,8117.4,3,1
575,20,0,0.7296,1,4508.83,1,0
351,18,3,0.0187,3,5770.74,2,1
429,19,0,0.1614,0,842.78,2,0
372,29,0,0.1684,7,1167.85,2,1
385,0,4,0.29,4,1249.99,1,0
398,0,0,0.1934,6,1298.96,2,0
51,27,1,0.0387,4,5758.65,0,0
425,15,2,0.3979,7,4420.34,1,1
163,25,1,0.3698,1,2280.54,0,0
200,0,2,0.3429,6,34148.17,1,0
299,0,1,0.1631,3,5831.33,0,0
854,0,4,0.1858,3,23473.16,2,0
122,19,0,0.3826,3,1372.64,0,0
291,32,0,0.2846,6,13341.72,1,0
244,25,2,0.3427,5,26262.06,0,1
570,25,1,0.0708,3,12992.89,0,0
238,0,2,0.2017,1,4718.69,2,1
354,25,2,0.3876,2,5720.66,1,1
122,0,1,0.3235,4,12095.13,0,0
636,17,1,0.5619,4,8620.61,1,0
76,25,1,0.0942,3,29858.42,0,1
421,23,0,0.4617,1,2601.78,0,0
356,0,1,0.5385,3,25546.67,0,0
395,0,2,0.3989,2,11474.61,1,0
77,28,0,0.2791,0,10222.66,1,0
235,0,2,0.3486,3,6480.34,0,0
551,16,0,0.3163,4,28798.65,0,0
939,31,1,0.2988,5,2780.64,2,0
275,0,2,0.4323,3,2026.37,0,0
515,0,2,0.4133,3,8303.15,0,0
331,0,0,0.3523,5,3521.95,0,0
286,23,1,0.0497,4,11449.71,0,1
213,20,0,0.1633,3,78549.81,1,0
300,28,0,0.2459,2,8839.27,2,0
484,21,0,0.1343,5,10225.1,0,0
512,18,0,0.4798,2,53715.78,3,0
94,0,0,0.314,7,12762.68,0,0
198,0,0,0.2142,6,28699.08,0,0
116,23,0,0.5758,6,5813.23,1,0
312,27,0,0.2064,2,7515.94,1,0
228,0,1,0.2639,3,3602.1,0,0
386,32,1,0.3476,4,13876.7,1,0
405,29,1,0.1717,5,14313.43,0,0
25,0,0,0.1221,6,18916.12,0,0
298,0,1,0.0239,3,13451.65,0,0
669,28,2,0.3539,2,6793.71,2,0
198,0,0,0.3112,4,15556.9,3,0
193,19,0,0.354,1,47178.3,0,0
592,18,4,0.2326,1,9399.53,1,0
528,30,0,0.0541,1,1634.97,0,0
128,24,1,0.3987,3,2468.48,2,1
493,23,1,0.152,3,10779.09,1,0
155,28,0,0.1338,3,2870.65,1,0
191,0,0,0.1028,1,4427.95,0,1
128,22,1,0.6043,0,4283.09,2,0
94,38,0,0.1713,0,13017.13,0,0
326,25,0,0.4926,2,54309.66,1,1
80,0,2,0.0405,4,1354.45,0,0
336,20,1,0.4858,5,27654.95,0,0
328,24,1,0.6681,5,26247.16,0,1
265,0,0,0.3115,1,11154.49,3,1
205,18,0,0.1991,3,6312.32,1,1
173,27,2,0.5371,0,20201.4,0,0
113,25,1,0.1241,6,8673.65,1,0
776,0,1,0.131,5,6676.28,2,0
256,23,3,0.0709,2,923.67,2,1
249,0,2,0.2658,1,14059.48,4,1
133,23,3,0.2166,4,43217.24,1,1
722,27,0,0.3276,6,1516.79,0,0
183,0,2,0.365,1,2799.91,0,1
360,21,1,0.1698,1,4606.27,0,0
412,28,2,0.4858,3,5788.36,1,1
326,30,2,0.3333,2,3421.57,0,0
78,19,1,0.2208,2,37032.83,4,0
478,24,0,0.2239,3,88617.12,1,0
181,20,2,0.3767,3,10539.44,0,0
525,35,1,0.1261,4,3644.1,0,0
284,0,0,0.5748,2,9797.85,1,0
430,27,1,0.3802,3,2102.87,1,0
691,24,3,0.7277,1,6263.13,3,0
466,24,1,0.5038,8,15551.78,0,0
437,26,0,0.1004,1,17695.65,1,0
494,25,5,0.3549,5,15753.52,0,0
150,26,1,0.0844,4,4592.96,0,0
540,19,3,0.2638,1,9444.48,1,0
241,0,2,0.2092,2,5290.99,0,0
247,23,1,0.1417,3,23141.77,0,1
318,0,3,0.214,3,13302.72,1,0
223,0,2,0.2007,5,59002.82,1,0
123,0,1,0.1734,3,11964.37,1,0
300,20,1,0.7415,8,2893.31,1,1
248,30,2,0.2906,2,1889.68,1,1
241,25,2,0.3882,2,9776.29,1,1
277,0,0,0.0453,6,492.72,2,0
28,35,2,0.1198,6,4960.87,1,0
242,0,1,0.3768,5,4004.62,1,0
749,27,0,0.2767,3,3080.6,1,0
710,27,2,0.2656,3,9539.08,1,0
308,0,2,0.1028,0,2325.63,1,1
300,36,0,0.1233,4,1209.81,0,0
19,26,0,0.2033,1,14494.78,2,1
190,25,3,0.51,3,5183.13,0,0
490,0,0,0.2317,2,12022.49,0,1
219,25,0,0.227,3,9913.66,1,0
608,25,0,0.4573,2,15190.95,1,0
583,29,1,0.1102,4,10387.18,0,0
187,28,0,0.1437,3,16171.57,1,0
326,0,0,0.1224,4,61431.14,1,0
788,32,1,0.3551,4,11981.07,0,0
76,24,0,0.4391,2,15743.39,0,1
223,31,2,0.1789,3,9197.71,0,0
68,0,3,0.2657,1,830.74,0,0
141,0,2,0.6461,2,6847.05,0,0
943,0,1,0.3164,3,40422.1,0,0
223,26,2,0.4098,2,14440.52,0,1
39,26,0,0.211,3,4517.22,1,0
122,26,1,0.0751,5,12604.2,1,0
60,24,2,0.2774,2,2126.36,0,0
335,0,3,0.236,5,18497.98,1,0
407,24,0,0.344,4,4509.17,0,0
545,0,0,0.5019,1,9919.17,1,0
472,0,1,0.438,3,2382.09,2,0
80,0,0,0.1691,3,10475.76,0,0
393,26,2,0.0297,1,452.7,1,1
268,27,1,0.119,5,4813.71,0,0
600,27,3,0.092,2,3227.52,0,1
510,0,0,0.1815,2,3368.65,0,0
1025,0,1,0.1814,1,130.1,0,0
132,27,0,0.5309,2,3529.35,1,1
115,0,3,0.3956,1,11036.56,1,1
200,25,3,0.2788,6,2759.26,1,1
276,23,2,0.4872,6,14038.47,2,0
169,32,2,0.3511,1,23684.58,1,0
138,23,1,0.0547,5,11453.76,0,0
374,27,3,0.2959,2,12762.05,0,0
200,19,1,0.4188,7,11078.65,0,1
162,17,2,0.1934,1,15468.21,0,0
80,24,0,0.3913,0,3580.78,0,0
22,26,2,0.514,2,2863.71,0,1
725,27,3,0.303,4,2955.8,0,0
710,23,1,0.5255,4,17961.15,0,0
521,0,1,0.5779,1,2905.08,2,1
438,32,0,0.3903,2,5613.17,2,0
184,18,1,0.042,3,4780.79,2,1
451,25,2,0.1752,1,9866.47,1,0
107,26,1,0.446,1,16877.69,1,0
320,0,1,0.1846,3,16878.26,0,0
150,0,4,0.0638,1,933.2,0,0
453,15,2,0.0761,3,12082.58,4,0
824,27,0,0.3586,1,7545.09,0,0
122,22,0,0.4346,3,9821.79,2,1
192,21,4,0.0593,4,5321.96,2,1
316,0,1,0.1761,5,3052.58,0,0
45,30,1,0.2126,2,25447.21,1,0
63,22,0,0.2988,3,6243.77,0,0
808,20,2,0.0931,1,34474.06,1,0
375,29,0,0.4794,3,7669.36,3,1
176,0,1,0.1921,4,7911.21,1,0
291,31,2,0.3088,4,3470.99,0,1
201,20,1,0.4165,4,7827.55,0,1
323,32,0,0.2968,3,24198.56,2,0
207,28,1,0.2797,3,6852.44,1,0
273,23,0,0.3897,4,10278.41,2,0
